,party,sentence,primary_topic
0,BBB,Dualisme wil zeggen dat er een duidelijke scheiding is tussen kabinet en parlement.,Government Operations
1,BBB,"De regel die dan strikt genomen geldt, is: de regering regeert, het parlement controleert.",Government Operations
2,BBB,"BBB wil straks, na de verkiezingen, geen regeerakkoord, maar een regieakkoord.",Government Operations
3,BBB,"Een visie op langjarig beleid in Nederland waarin ondernemers, boeren en burgers het vertrouwen wordt gegeven om dit mede vorm te geven.",Domestic Commerce
4,BBB,Een regieakkoord dat minimaal eens per jaar beoordeeld wordt door de hele Tweede Kamer.,Government Operations
5,BBB,"Geen 884 bolletjes met dichtgetimmerde afspraken, waarover de kiezer over vier jaar weer mag stemmen.",Government Operations
6,BBB,INLEIDING 4 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 5 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027VISIE OP EEN IEDERE DAG BBBETER NEDERLAND 7 De witteboordenoverheid 7 Een volkshuis voor Nederland 8 De overheid als maakbaarheid project 9 Tweedeling 11 De staat van de samenleving 12 Van verticale naar horizontale zuilen 13 Halsstarrige gemeenschapszin 14 De openbaring van de regio 14 De wederopbouw van Nederland 17 1.,Other
7,BBB,"20 De noaberstaat 21 Van regeerakkoord naar regieakkoord 22 BBB als emancipatiepartij 23 ONZE IDENTITEIT 24 ONZE KERNWAARDEN 26 HOOFDSTUK 1: LEEFBAARHEID 29 HOOFDSTUK 2: WONEN 35 HOOFDSTUK 3: WERKEN 43 HOOFDSTUK 4a: ECONOMIE EN ONDERNEMEN 47 HOOFDSTUK 4b: FINANCIEEL WELZIJN EN FISCALITEIT 51 HOOFDSTUK 4c: FINANCIËLE INFRASTRUCTUUR 55 HOOFDSTUK 5: GEZONDHEIDSZORG EN SPORT 57 HOOFDSTUK 6: VOEDSELZEKERHEID EN RENTMEESTERSCHAP 67 HOOFDSTUK 7a: ONDERWIJS EN WETENSCHAP 77 HOOFDSTUK 7b: DIGITALISERING EN TECHNIEK 83 HOOFDSTUK 8a: VEILIGHEID 87 HOOFDSTUK 8b: ASIEL EN MIGRATIE 93 HOOFDSTUK 9: RUIMTELIJKE ORDENING, INFRASTRUCTUUR EN MOBILITEIT 97 HOOFDSTUK 10: BINNENLANDS BESTUUR, HET KONINKRIJK EN EUROPA 105 HOOFDSTUK 11: KLIMAAT EN ENERGIE 113 HOOFDSTUK 12: BUITENLAND EN KRIJGSMACHT 119INHOUDSOPGAVE6 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 Visie op een Iedere Dag BBBeter Nederland7 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027In de HJ Schoo lezing op 4 september gaf Caroline van der Plas het al aan: het is 69 jaar geleden dat in Assen het standbeeld van Bartje werd onthuld.",Other
8,BBB,"De vak - mensen, zoals de automonteurs, de schilders, de bouwers, de lassers, de buschauffeurs, de MKB’ers en andere ondernemers die ons land draaiende houden.",Labor
9,BBB,"De mensen, zoals politieagenten en militairen die ons land veilig houden, de mensen, zoals onze boeren, tuinders, telers en vissers die dagelijks zorgen voor ons voedsel.",Agriculture
10,BBB,"De mensen die onze zieken, gewonden, gehandicapten en ouderen verzorgen en verplegen.",Health
